CIK,trustName,prospectusDate,formType,dateFiled,accessionNumber,loanID,assetTypeNumber,assetNumber,GroupID,reportingPeriodBeginningDate,reportingPeriodEndDate,originatorName,originationDate,originalLoanAmount,originalTermLoanNumber,maturityDate,originalAmortizationTermNumber,originalInterestRatePercentage,interestRateSecuritizationPercentage,interestAccrualMethodCode,originalInterestRateTypeCode,originalInterestOnlyTermNumber,firstLoanPaymentDueDate,underwritingIndicator,lienPositionSecuritizationCode,loanStructureCode,paymentTypeCode,periodicPrincipalAndInterestPaymentSecuritizationAmount,scheduledPrincipalBalanceSecuritizationAmount,paymentFrequencyCode,NumberPropertiesSecuritization,NumberProperties,graceDaysAllowedNumber,interestOnlyIndicator,balloonIndicator,prepaymentPremiumIndicator,negativeAmortizationIndicator,modifiedIndicator,armIndexCode,firstRateAdjustmentDate,firstPaymentAdjustmentDate,armMarginNumber,lifetimeRateCapPercentage,lifetimeRateFloorPercentage,periodicRateIncreaseLimitPercentage,periodicRateDecreaseLimitPercentage,periodicPaymentAdjustmentMaximumAmount,periodicPaymentAdjustmentMaximumPercent,rateResetFrequencyCode,paymentResetFrequencyCode,indexLookbackDaysNumber,prepaymentLockOutEndDate,yieldMaintenanceEndDate,prepaymentPremiumsEndDate,maximumNegativeAmortizationAllowedPercentage,maximumNegativeAmortizationAllowedAmount,negativeAmortizationDeferredInterestCapAmount,deferredInterestCumulativeAmount,deferredInterestCollectedAmount,assetAddedIndicator,reportPeriodModificationIndicator,reportPeriodBeginningScheduleLoanBalanceAmount,totalScheduledPrincipalInterestDueAmount,reportPeriodInterestRatePercentage,servicerTrusteeFeeRatePercentage,scheduledInterestAmount,otherInterestAdjustmentAmount,scheduledPrincipalAmount,unscheduledPrincipalCollectedAmount,otherPrincipalAdjustmentAmount,reportPeriodEndActualBalanceAmount,reportPeriodEndScheduledLoanBalanceAmount,paidThroughDate,hyperAmortizingDate,servicingAdvanceMethodCode,nonRecoverabilityIndicator,totalPrincipalInterestAdvancedOutstandingAmount,totalTaxesInsuranceAdvancesOutstandingAmount,otherExpensesAdvancedOutstandingAmount,paymentStatusLoanCode,armIndexRatePercentage,nextInterestRatePercentage,nextInterestRateChangeAdjustmentDate,nextPaymentAdjustmentDate,primaryServicerName,mostRecentSpecialServicerTransferDate,mostRecentMasterServicerReturnDate,assetSubjectDemandIndicator,assetSubjectDemandStatusCode,repurchaseAmount,demandResolutionDate,repurchaserName,repurchaseReplacementReasonCode,realizedLossToTrustAmount,liquidationPrepaymentCode,liquidationPrepaymentDate,prepaymentPremiumYieldMaintenanceReceivedAmount,workoutStrategyCode,lastModificationDate,modificationCode,postModificationInterestPercentage,postModificationPaymentAmount,postModificationMaturityDate,postModificationAmortizationPeriodAmount
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2017-04-27,0001056404-17-001723,0001695154-1,Prospectus Loan ID,1,1,2017-03-14,2017-04-11,JPMCB/DBNY/GSMC/Barclays/MSBNA,2016-10-24,80000000.0,120,2026-11-01,0,0.041995,0.041995,3,1,120,2016-12-01,True,1,A1,3,261302.22,80000000.0,1,1,1,0,True,True,True,False,False,,,,,,,,,,,,,,2019-03-31,2026-04-30,2026-04-30,,,,,,,False,80000000.0,261302.22,0.041995,0.01015,261302.22,0.0,0.0,0.0,0.0,80000000.0,80000000.0,2017-03-01,,2,False,0.0,0.0,0.0,0,,,,,"Wells Fargo Bank, National As",,,False,,,,,,0.0,,,,"9,8",,,,,,
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2017-05-30,0001056404-17-002274,0001695154-1,Prospectus Loan ID,1,,2017-04-12,2017-05-11,JP Morgan Chase Bank N.A.,2016-11-01,80000000.0,120,2026-11-01,120,0.041995,0.041995,3,1,120,2016-12-01,True,1,A1,3,283855.1,80000000.0,1,1,1,,True,False,True,False,False,,,,,,,,,,,,,,2019-03-31,2026-04-30,2026-04-30,0.0,0.0,,0.0,,False,False,80000000.0,279966.66,0.041995,0.01015,279966.66,0.0,0.0,0.0,0.0,80000000.0,80000000.0,2017-05-01,,1,False,0.0,0.0,0.0,0,,,,,WF,,,False,,,,,,0.0,,,0.0,,,,,,,
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2017-06-26,0001056404-17-002644,0001695154-1,Prospectus Loan ID,1,1,2017-05-12,2017-06-12,JP Morgan Chase Bank N.A.,2016-10-24,80000000.0,120,2026-11-01,0,0.041995,0.041995,3,1,120,2016-12-01,True,1,A1,3,261302.22,80000000.0,1,1,1,0,True,True,True,False,False,,,,,,,,,,,,,,2019-03-31,2026-04-30,2026-04-30,,,0.0,0.0,0.0,,False,80000000.0,289298.88,0.041995,0.01015,289298.88,0.0,0.0,0.0,0.0,80000000.0,80000000.0,2017-06-01,,2,False,0.0,0.0,0.0,0,0.0,0.0,,,"Wells Fargo Bank, National As",,,False,,,,,,0.0,,,0.0,,,,,,,
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2017-07-27,0001056404-17-003195,0001695154-1,Prospectus Loan ID,1,1,2017-06-13,2017-07-11,JP Morgan Chase Bank N.A.,2016-10-24,80000000.0,120,2026-11-01,0,0.041995,0.041995,3,1,120,2016-12-01,True,1,A1,3,261302.22,80000000.0,1,1,1,0,True,True,True,False,False,,,,,,,,,,,,,,2019-03-31,2026-04-30,2026-04-30,,,0.0,0.0,0.0,,False,80000000.0,279966.66,0.041995,0.01015,279966.66,0.0,0.0,0.0,0.0,80000000.0,80000000.0,2017-07-01,,2,False,0.0,0.0,0.0,0,0.0,0.0,,,"Wells Fargo Bank, National As",,,False,,,,,,0.0,,,0.0,,,,,,,
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2017-09-27,0001056404-17-004234,0001695154-1,Prospectus Loan ID,1,1,2017-08-12,2017-09-11,"JPMorgan Chase Bank, National Association, Deutsche Bank AG, New York Branch, Goldman Sachs Mortgage Company, Barclays Bank PLC, Morgan Stanley Bank",2016-10-24,80000000.0,120,2026-11-01,0,0.041995,0.041995,3,1,120,2016-12-01,True,1,A1,3,261302.22,80000000.0,1,1,1,0,True,True,True,False,False,,,,,,,,,,,,,,2019-03-31,2026-04-30,2026-04-30,,,0.0,0.0,0.0,,False,80000000.0,289298.88,0.041995,0.01015,289298.88,0.0,0.0,0.0,0.0,80000000.0,80000000.0,2017-09-01,,2,False,0.0,0.0,0.0,0,0.0,0.0,,,"Wells Fargo Bank, National",,,False,,,,,,0.0,,,0.0,,,,,,,
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2017-10-25,0001056404-17-004675,0001695154-1,Prospectus Loan ID,1,1,2017-09-12,2017-10-11,"JPMorgan Chase Bank, National Association, Deutsche Bank AG, New York Branch, Goldman Sachs Mortgage Company, Barclays Bank PLC, Morgan Stanley Bank",2016-10-24,80000000.0,120,2026-11-01,0,0.041995,0.041995,3,1,120,2016-12-01,True,1,A1,3,261302.22,80000000.0,1,1,1,0,True,True,True,False,False,,,,,,,,,,,,,,2019-03-31,2026-04-30,2026-04-30,,,0.0,0.0,0.0,,False,80000000.0,279966.66,0.041995,0.01015,279966.66,0.0,0.0,0.0,0.0,80000000.0,80000000.0,2017-10-01,,2,False,0.0,0.0,0.0,0,0.0,0.0,,,"Wells Fargo Bank, National",,,False,,,,,,0.0,,,0.0,,,,,,,
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2017-11-29,0001056404-17-005370,0001695154-1,Prospectus Loan ID,1,1,2017-10-12,2017-11-11,"JPMorgan Chase Bank, National Association, Deutsche Bank AG, New York Branch, Goldman Sachs Mortgage Company, Barclays Bank PLC, Morgan Stanley Bank",2016-10-24,80000000.0,120,2026-11-01,0,0.041995,0.041995,3,1,120,2016-12-01,True,1,A1,3,261302.22,80000000.0,1,1,1,0,True,True,True,False,False,,,,,,,,,,,,,,2019-03-31,2026-04-30,2026-04-30,,,0.0,0.0,0.0,,False,80000000.0,289298.88,0.041995,0.01015,289298.88,0.0,0.0,0.0,0.0,80000000.0,80000000.0,2017-11-01,,2,False,0.0,0.0,0.0,0,0.0,0.0,,,"Wells Fargo Bank, National",,,False,,,,,,0.0,,,0.0,,,,,,,
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2017-12-29,0001056404-17-006065,0001695154-1,Prospectus Loan ID,1,1,2017-11-14,2017-12-11,"JPMorgan Chase Bank, National Association, Deutsche Bank AG, New York Branch, Goldman Sachs Mortgage Company, Barclays Bank PLC, Morgan Stanley Bank",2016-10-24,80000000.0,120,2026-11-01,0,0.041995,0.041995,3,1,120,2016-12-01,True,1,A1,3,261302.22,80000000.0,1,1,1,0,True,True,True,False,False,,,,,,,,,,,,,,2019-03-31,2026-04-30,2026-04-30,,,0.0,0.0,0.0,,False,80000000.0,279966.66,0.041995,0.01015,279966.66,0.0,0.0,0.0,0.0,80000000.0,80000000.0,2017-11-01,,2,False,0.0,0.0,0.0,0,0.0,0.0,,,"Wells Fargo Bank, National",,,False,,,,,,0.0,,,0.0,,,,,,,
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2018-01-31,0001056404-18-000359,0001695154-1,Prospectus Loan ID,1,1,2017-12-12,2018-01-11,"JPMorgan Chase Bank, National Association, Deutsche Bank AG, New York Branch, Goldman Sachs Mortgage Company, Barclays Bank PLC, Morgan Stanley Bank",2016-10-24,80000000.0,120,2026-11-01,0,0.041995,0.041995,3,1,120,2016-12-01,True,1,A1,3,261302.22,80000000.0,1,1,1,0,True,True,True,False,False,,,,,,,,,,,,,,2019-03-31,2026-04-30,2026-04-30,,,0.0,0.0,0.0,,False,80000000.0,289298.88,0.041995,0.01015,289298.88,0.0,0.0,0.0,0.0,80000000.0,80000000.0,2018-01-01,,2,False,0.0,0.0,0.0,0,0.0,0.0,,,"Wells Fargo Bank, National",,,False,,,,,,0.0,,,0.0,,,,,,,
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2018-02-28,0001056404-18-000944,0001695154-1,Prospectus Loan ID,1,1,2018-01-12,2018-02-12,"JPMorgan Chase Bank, National Association, Deutsche Bank AG, New York Branch, Goldman Sachs Mortgage Company, Barclays Bank PLC, Morgan Stanley Bank",2016-10-24,80000000.0,120,2026-11-01,0,0.041995,0.041995,3,1,120,2016-12-01,True,1,A1,3,261302.22,80000000.0,1,1,1,0,True,True,True,False,False,,,,,,,,,,,,,,2019-03-31,2026-04-30,2026-04-30,,,0.0,0.0,0.0,,False,80000000.0,289298.88,0.041995,0.01015,289298.88,0.0,0.0,0.0,0.0,80000000.0,80000000.0,2018-02-01,,2,False,0.0,0.0,0.0,0,0.0,0.0,,,"Wells Fargo Bank, National",,,False,,,,,,0.0,,,0.0,,,,,,,
