CIK,trustName,prospectusDate,formType,dateFiled,accessionNumber,loanID,propertyID,assetNumber,propertyName,propertyAddress,propertyCity,propertyState,propertyZip,propertyCounty,propertyTypeCode,netRentableSquareFeetNumber,netRentableSquareFeetSecuritizationNumber,unitsBedsRoomsNumber,unitsBedsRoomsSecuritizationNumber,yearBuiltNumber,yearLastRenovated,valuationSecuritizationAmount,valuationSourceSecuritizationCode,valuationSecuritizationDate,mostRecentValuationAmount,mostRecentValuationDate,mostRecentValuationSourceCode,physicalOccupancySecuritizationPercentage,mostRecentPhysicalOccupancyPercentage,propertyStatusCode,defeasanceOptionStartDate,DefeasedStatusCode,largestTenant,squareFeetLargestTenantNumber,leaseExpirationLargestTenantDate,secondLargestTenant,squareFeetSecondLargestTenantNumber,leaseExpirationSecondLargestTenantDate,thirdLargestTenant,squareFeetThirdLargestTenantNumber,leaseExpirationThirdLargestTenantDate,financialsSecuritizationDate,mostRecentFinancialsStartDate,mostRecentFinancialsEndDate,revenueSecuritizationAmount,mostRecentRevenueAmount,operatingExpensesSecuritizationAmount,operatingExpensesAmount,netOperatingIncomeSecuritizationAmount,mostRecentNetOperatingIncomeAmount,netCashFlowFlowSecuritizationAmount,mostRecentNetCashFlowAmount,netOperatingIncomeNetCashFlowSecuritizationCode,netOperatingIncomeNetCashFlowCode,mostRecentDebtServiceAmount,debtServiceCoverageNetOperatingIncomeSecuritizationPercentage,mostRecentDebtServiceCoverageNetOperatingIncomePercentage,debtServiceCoverageNetCashFlowSecuritizationPercentage,mostRecentDebtServiceCoverageNetCashFlowpercentage,debtServiceCoverageSecuritizationCode,mostRecentDebtServiceCoverageCode,mostRecentAnnualLeaseRolloverReviewDate
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2017-04-27,0001056404-17-001723,0001695154-1,0001695154-1,1,Hilton Hawaiian Village,2005 Kalia Road,Honolulu,HI,96815,Honolulu,LO,,,2860,2860,1961,2016,2230000000.0,MAI,2016-08-30,,,,0.946,0.946,6,2019-04-01,N,,,,,,,,,,2016-09-30,2015-10-01,2016-09-30,374437730.0,376987420.0,241850770.0,245094320.0,132586980.0,131893120.0,132586980.0,131893120.0,UW,UW,29660018.0,4.47,4.45,4.47,4.45,F,F,2016-09-30
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2017-05-30,0001056404-17-002274,0001695154-1,0001695154-1,1,Hilton Hawaiian Village,2005 Kalia Rd,Honolulu,HI,96815,Honolulu,LO,,,2860,2860,1961,2016,2230000000.0,MAI,2016-08-30,2230000000.0,2016-08-30,MAI,0.946,0.946,6,2019-04-01,N,,,,,,,,,,2016-09-30,,,374437730.0,,241850770.0,,132586980.0,,132586980.0,,,CREFC,,4.4702,,4.4702,,,F,2016-09-30
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2017-06-26,0001056404-17-002644,0001695154-1,0001695154-1,1,Hilton Hawaiian Village,2005 Kalia Road,Honolulu,HI,96815,Honolulu,LO,,,2860,2860,1961,2016,2230000000.0,MAI,2016-08-30,,,,0.946,0.946,6,2019-04-01,N,,,,,,,,,,2016-09-30,2015-10-01,2016-09-30,374437730.0,376987420.0,241850770.0,245094320.0,132586980.0,131893120.0,132586980.0,131893120.0,UW,UW,29660018.0,4.47,4.45,4.47,4.45,F,F,2016-09-30
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2017-07-27,0001056404-17-003195,0001695154-1,0001695154-1,1,Hilton Hawaiian Village,2005 Kalia Road,Honolulu,HI,96815,Honolulu,LO,,,2860,2860,1961,2016,2230000000.0,MAI,2016-08-30,,,,0.946,0.946,6,2019-04-01,N,,,,,,,,,,2016-09-30,2015-10-01,2016-09-30,374437730.0,376987420.0,241850770.0,245094320.0,132586980.0,131893120.0,132586980.0,131893120.0,UW,UW,29660018.0,4.47,4.45,4.47,4.45,F,F,2016-09-30
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2017-09-27,0001056404-17-004234,0001695154-1,0001695154-1,1,Hilton Hawaiian Village,2005 Kalia Road,Honolulu,HI,96815,Honolulu,LO,,,2860,2860,1961,2016,2230000000.0,MAI,2016-08-30,,,,0.946,0.946,6,2019-04-01,N,,,,,,,,,,2016-09-30,2015-10-01,2016-09-30,374437730.0,376987420.0,241850770.0,245094320.0,132586980.0,131893120.0,132586980.0,131893120.0,UW,UW,29660018.0,4.47,4.45,4.47,4.45,F,F,2016-09-30
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2017-10-25,0001056404-17-004675,0001695154-1,0001695154-1,1,Hilton Hawaiian Village,2005 Kalia Road,Honolulu,HI,96815,Honolulu,LO,,,2860,2860,1961,2016,2230000000.0,MAI,2016-08-30,,,,0.946,0.946,6,2019-04-01,N,,,,,,,,,,2016-09-30,2015-10-01,2016-09-30,374437730.0,376987420.0,241850770.0,245094320.0,132586980.0,131893120.0,132586980.0,131893120.0,UW,UW,29660018.0,4.47,4.45,4.47,4.45,F,F,2016-09-30
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2017-11-29,0001056404-17-005370,0001695154-1,0001695154-1,1,Hilton Hawaiian Village,2005 Kalia Road,Honolulu,HI,96815,Honolulu,LO,,,2860,2860,1961,2016,2230000000.0,MAI,2016-08-30,,,,0.946,0.946,6,2019-04-01,N,,,,,,,,,,2016-09-30,2015-10-01,2016-09-30,374437730.0,376987420.0,241850770.0,245094320.0,132586980.0,131893120.0,132586980.0,131893120.0,UW,UW,29660018.0,4.47,4.45,4.47,4.45,F,F,2016-09-30
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2017-12-29,0001056404-17-006065,0001695154-1,0001695154-1,1,Hilton Hawaiian Village,2005 Kalia Road,Honolulu,HI,96815,Honolulu,LO,,,2860,2860,1961,2016,2230000000.0,MAI,2016-08-30,,,,0.946,0.946,6,2019-04-01,N,,,,,,,,,,2016-09-30,2015-10-01,2016-09-30,374437730.0,376987420.0,241850770.0,245094320.0,132586980.0,131893120.0,132586980.0,131893120.0,UW,UW,29660018.0,4.47,4.45,4.47,4.45,F,F,2016-09-30
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2018-01-31,0001056404-18-000359,0001695154-1,0001695154-1,1,Hilton Hawaiian Village,2005 Kalia Road,Honolulu,HI,96815,Honolulu,LO,,,2860,2860,1961,2016,2230000000.0,MAI,2016-08-30,,,,0.946,0.946,6,2019-04-01,N,,,,,,,,,,2016-09-30,2015-10-01,2016-09-30,374437730.0,376987420.0,241850770.0,245094320.0,132586980.0,131893120.0,132586980.0,131893120.0,UW,UW,29660018.0,4.47,4.45,4.47,4.45,F,F,2016-09-30
0001695154,JPMCC Commercial Mortgage Securities Trust 2017-JP5,2017-03-29,ABS-EE,2018-02-28,0001056404-18-000944,0001695154-1,0001695154-1,1,Hilton Hawaiian Village,2005 Kalia Road,Honolulu,HI,96815,Honolulu,LO,,,2860,2860,1961,2016,2230000000.0,MAI,2016-08-30,,,,0.946,0.946,6,2019-04-01,N,,,,,,,,,,2016-09-30,2015-10-01,2016-09-30,374437730.0,376987420.0,241850770.0,245094320.0,132586980.0,131893120.0,132586980.0,131893120.0,UW,UW,29660018.0,4.47,4.45,4.47,4.45,F,F,2016-09-30
