Form Type,Company Name,CIK,Date Filed,File Name
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2016-12-06,edgar/data/850779/0001539497-16-004238.txt
ABS-EE/A,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2016-12-22,edgar/data/850779/0001539497-16-004394.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2017-02-22,edgar/data/850779/0001539497-17-000237.txt
ABS-EE/A,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2017-03-14,edgar/data/850779/0001539497-17-000423.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2017-03-15,edgar/data/850779/0001539497-17-000444.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2017-03-29,edgar/data/850779/0001539497-17-000524.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2017-06-21,edgar/data/850779/0001539497-17-001020.txt
ABS-EE/A,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2017-07-13,edgar/data/850779/0001539497-17-001129.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2017-08-04,edgar/data/850779/0001539497-17-001304.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2017-09-13,edgar/data/850779/0001539497-17-001564.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2017-09-28,edgar/data/850779/0001539497-17-001672.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2017-11-13,edgar/data/850779/0001539497-17-001990.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2017-12-06,edgar/data/850779/0001539497-17-002245.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2018-01-23,edgar/data/850779/0001539497-18-000069.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2018-03-06,edgar/data/850779/0001539497-18-000337.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2018-04-24,edgar/data/850779/0001539497-18-000640.txt
ABS-EE/A,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2018-05-17,edgar/data/850779/0001539497-18-000753.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2018-06-20,edgar/data/850779/0001539497-18-000924.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2018-07-18,edgar/data/850779/0001539497-18-001140.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2018-08-07,edgar/data/850779/0001539497-18-001307.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2018-10-02,edgar/data/850779/0001539497-18-001556.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2018-12-03,edgar/data/850779/0001539497-18-001907.txt
ABS-EE/A,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2018-12-20,edgar/data/850779/0001539497-18-002053.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2019-01-29,edgar/data/850779/0001539497-19-000050.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2019-02-13,edgar/data/850779/0001539497-19-000229.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2019-04-24,edgar/data/850779/0001539497-19-000629.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2019-06-17,edgar/data/850779/0001539497-19-000988.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2019-07-17,edgar/data/850779/0001539497-19-001178.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2019-07-31,edgar/data/850779/0001539497-19-001256.txt
ABS-EE/A,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2019-08-20,edgar/data/850779/0001539497-19-001370.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2019-10-15,edgar/data/850779/0001539497-19-001665.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2019-10-22,edgar/data/850779/0001539497-19-001737.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2019-11-04,edgar/data/850779/0001539497-19-001895.txt
ABS-EE/A,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2019-12-03,edgar/data/850779/0001539497-19-002197.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2020-01-22,edgar/data/850779/0001539497-20-000101.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2020-02-04,edgar/data/850779/0001539497-20-000221.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2020-05-21,edgar/data/850779/0001539497-20-000726.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2020-08-12,edgar/data/850779/0001539497-20-001047.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2020-09-16,edgar/data/850779/0001539497-20-001187.txt
ABS-EE/A,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2020-09-30,edgar/data/850779/0001539497-20-001221.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2020-11-30,edgar/data/850779/0001539497-20-001445.txt
ABS-EE,WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC,0000850779,2021-01-25,edgar/data/850779/0001539497-21-000055.txt
